"idx","level_1","level_2","level_3","level_4","level_5"
159,"08015509011","08015509","080155","08","09"
160,"08015509012","08015509","080155","08","09"
161,"08015509013","08015509","080155","08","09"
162,"08015509014","08015509","080155","08","09"
163,"08015509015","08015509","080155","08","09"
164,"08015509016","08015509","080155","08","09"
165,"08015509017","08015509","080155","08","09"
166,"08015509018","08015509","080155","08","09"
167,"08015509019","08015509","080155","08","09"
168,"08015509020","08015509","080155","08","09"
169,"08015509021","08015509","080155","08","09"
170,"08015509022","08015509","080155","08","09"
171,"08015509023","08015509","080155","08","09"
172,"08015509024","08015509","080155","08","09"
173,"08015509025","08015509","080155","08","09"
174,"08015509026","08015509","080155","08","09"
175,"08015509027","08015509","080155","08","09"
176,"08015509028","08015509","080155","08","09"
177,"08015509030","08015509","080155","08","09"
178,"08015509031","08015509","080155","08","09"
179,"08015509032","08015509","080155","08","09"
180,"08015509033","08015509","080155","08","09"
181,"08015509034","08015509","080155","08","09"
182,"08015509035","08015509","080155","08","09"
183,"08015509036","08015509","080155","08","09"
184,"08015509037","08015509","080155","08","09"
185,"08015509038","08015509","080155","08","09"
186,"08015509042","08015509","080155","08","09"
187,"08015509043","08015509","080155","08","09"
188,"08015509044","08015509","080155","08","09"
189,"08015509045","08015509","080155","08","09"
190,"08015509047","08015509","080155","08","09"
191,"08015509049","08015509","080155","08","09"
192,"08015509052","08015509","080155","08","09"
193,"08015509053","08015509","080155","08","09"
194,"08015509054","08015509","080155","08","09"
195,"08015509057","08015509","080155","08","09"
196,"08015509058","08015509","080155","08","09"
197,"08015509059","08015509","080155","08","09"
198,"08016801001","08016801","080168","08","09"
199,"08017401001","08017401","080174","08","09"
200,"08017401002","08017401","080174","08","09"
201,"08018001001","08018001","080180","08","09"
202,"08018001002","08018001","080180","08","09"
203,"08018001003","08018001","080180","08","09"
204,"08019301001","08019301","080193","08","09"
205,"08019301002","08019301","080193","08","09"
206,"08019301003","08019301","080193","08","09"
207,"08019301004","08019301","080193","08","09"
208,"08019301005","08019301","080193","08","09"
209,"08019301006","08019301","080193","08","09"
210,"08019301007","08019301","080193","08","09"
211,"08019301008","08019301","080193","08","09"
212,"08019301009","08019301","080193","08","09"
213,"08019301010","08019301","080193","08","09"
214,"08019301011","08019301","080193","08","09"
215,"08019301012","08019301","080193","08","09"
216,"08019301013","08019301","080193","08","09"
217,"08019301014","08019301","080193","08","09"
218,"08019301015","08019301","080193","08","09"
219,"08019301016","08019301","080193","08","09"
220,"08019301017","08019301","080193","08","09"
221,"08019301018","08019301","080193","08","09"
222,"08019301019","08019301","080193","08","09"
223,"08019301020","08019301","080193","08","09"
224,"08019301021","08019301","080193","08","09"
225,"08019301022","08019301","080193","08","09"
226,"08019301023","08019301","080193","08","09"
227,"08019301025","08019301","080193","08","09"
228,"08019301026","08019301","080193","08","09"
229,"08019301027","08019301","080193","08","09"
230,"08019301028","08019301","080193","08","09"
231,"08019301029","08019301","080193","08","09"
232,"08019301030","08019301","080193","08","09"
233,"08019301031","08019301","080193","08","09"
234,"08019301032","08019301","080193","08","09"
235,"08019301033","08019301","080193","08","09"
236,"08019301034","08019301","080193","08","09"
237,"08019301035","08019301","080193","08","09"
238,"08019301036","08019301","080193","08","09"
239,"08019301037","08019301","080193","08","09"
240,"08019301038","08019301","080193","08","09"
241,"08019301039","08019301","080193","08","09"
242,"08019301040","08019301","080193","08","09"
243,"08019301041","08019301","080193","08","09"
244,"08019301042","08019301","080193","08","09"
245,"08019301043","08019301","080193","08","09"
246,"08019301044","08019301","080193","08","09"
247,"08019301045","08019301","080193","08","09"
248,"08019301046","08019301","080193","08","09"
249,"08019301047","08019301","080193","08","09"
250,"08019301048","08019301","080193","08","09"
251,"08019301049","08019301","080193","08","09"
252,"08019301050","08019301","080193","08","09"
253,"08019301051","08019301","080193","08","09"
254,"08019301052","08019301","080193","08","09"
255,"08019301053","08019301","080193","08","09"
