source_idx,target_idx,ratio
1,1,0.9977593230071775
1,2,0.000010812886399471817
1,7,9.92930516321701e-6
1,8,0.0004249927299489136
1,9,3.387875016358213e-6
1,10,0.00005889727964317268
1,11,0.0006239316148191838
1,13,0.0001214753341600256
1,14,0.0007722373895206227
1,15,2.094233979852555e-6
1,18,0.0001568133765016433
1,19,0.000056104967670035935
2,2,0.9797116155232874
2,7,0.0010847096782068777
2,8,0.0005234252294611085
2,9,0.009778601159686155
2,10,0.001413032366090667
2,13,0.0006763792050985402
2,14,0.000012693232422394548
2,15,0.005779194075376127
2,16,0.00013355611275602878
2,17,0.0008867934176145031
3,3,0.9894542343111232
3,6,0.0022107698868650966
3,7,0.0036381008991337757
3,11,0.00004206147747977092
3,12,0.004229996184141422
3,13,0.00029775527971494475
3,15,0.00003471805755119791
3,16,0.00006478528248096625
3,17,0.00002757862150952972
4,4,0.9995268785990132
4,9,0.00019233523062817974
4,10,0.00012114017348436161
4,13,0.0001596459968742371
5,2,0.000021644550064344966
5,5,0.9999530690761601
5,9,0.000012603240009783152
5,13,0.000012683133765788114
6,2,0.0002512689053269654
6,3,0.0024062403774662475
6,6,0.9406411754027187
6,7,0.006690703773099376
6,12,0.000047115123862010626
6,13,0.00005180547676144732
6,15,0.00006319633380293642
6,16,0.04976167017960581
6,17,0.00008682442735648964
7,1,0.00003545932644704034
7,2,0.00029128329409500636
7,3,0.000859331608594686
7,6,0.0007127198426081277
7,7,0.9733347867329334
7,8,0.001875146108128578
7,9,0.000019326664916805227
7,11,0.0009901242245335543
7,12,0.0019286281384961503
7,13,0.0133532681058355
7,15,0.00010606671123233327
7,16,0.0058091566140004314
7,17,0.0006847026281783115
8,1,0.0010770875263250118
8,2,0.0005214593250900994
8,4,0.000015215779853968824
8,6,0.000025291644797481693
8,7,0.0008138242800612035
8,8,0.8686464632618248
8,9,0.00012389846477605044
8,10,0.0044085519306198764
8,11,0.0011437989986588424
8,13,0.12008846647493848
8,14,0.0030376618368795592
8,15,0.000028799840688745286
8,16,0.000015746088535206345
8,17,0.000053734546950778645
9,1,0.000014940119692294907
9,2,0.0015568284046157436
9,3,9.794472767395236e-6
9,4,0.000028264556946200133
9,5,9.012064055990133e-6
9,7,0.00001891975795440943
9,8,0.000012154372908814741
9,9,0.9973661767098632
9,10,0.0008359286780137069
9,12,4.947932412514363e-6
9,13,0.0001430329307697522
10,1,0.00010231276184124042
10,2,0.0005304831202415271
10,4,0.00005958796961122891
10,7,0.000011115131888454408
10,8,0.0017378657878329247
10,9,0.001070909170919542
10,10,0.9881689956070895
10,13,0.00021763754628252534
10,14,0.008096525984996956
10,17,4.566919296219739e-6
11,1,0.006076254733986129
11,7,0.004217145074396537
11,8,0.003236742835133631
11,11,0.9863290236628824
11,13,0.00014083369360111883
12,2,0.00002626808852353322
12,3,0.001984833319305772
12,4,9.694505743373664e-6
12,5,0.000013924583356719825
12,6,0.000021025566104369778
12,7,0.0017504350103754109
12,12,0.9961201739687979
12,13,0.00005775096125237187
12,15,0.00001589399654063837
13,1,0.00018209451899984199
13,2,0.00010835491322535517
13,3,3.264836880124272e-6
13,4,0.000010427386712519983
13,6,3.84547556218945e-6
13,7,0.0014865301584107173
13,8,0.017126622739605104
13,9,0.0001397390367300944
13,10,0.0001663586079767593
13,11,0.00012465749947430802
13,12,0.0000715099733266604
13,13,0.980398516083459
13,14,0.00007528060878190546
13,15,0.000025466732230163204
13,16,0.00004298132638553757
13,17,0.00003435010223968288
14,1,0.007383668960717424
14,2,0.000021526005265022247
14,8,0.0036001701813133118
14,9,0.00001215843138418957
14,10,0.028241379128234753
14,12,0.00001215843138418957
14,13,0.00008408974999244882
14,14,0.9606282253083192
14,17,0.000016623803389560586
15,2,0.011050449607062352
15,7,0.0017424255483471142
15,8,0.000059644398730758114
15,9,0.0002713758141835013
15,10,0.00004736831666351268
15,12,7.378049323243467e-6
15,13,0.0002555037080763557
15,15,0.9335263052144874
15,16,0.028268775880535935
15,17,0.02477077346259004
16,2,0.00007225074550023
16,3,0.00007560937070942626
16,6,0.003206121233864024
16,7,0.003717046346832092
16,8,0.00008642862204998382
16,9,0.00003881675108441761
16,10,5.749966358144002e-6
16,13,0.00020763767404408895
16,15,0.004927501440204611
16,16,0.985204180894879
16,17,0.002458656954473923
17,2,0.0031105326257555186
17,6,0.0003655451065070365
17,7,0.008328030595712906
17,9,0.00014029221372779816
17,10,0.0004225425368510698
17,13,0.0004584782862537798
17,14,0.00008900642567293727
17,15,0.05961280919712757
17,16,0.03920546629234837
17,17,0.8882672967200429
18,1,0.007845678183063403
18,18,0.9921543218169365
19,1,0.0034657475910995572
19,19,0.9965342524089004
