ca,pro,muni,dist,seccen,idx
09,08,080155,08015502,08015502003,177
09,08,080155,08015502,08015502004,178
09,08,080155,08015502,08015502004,179
09,08,080155,08015502,08015502004,180
09,08,080155,08015502,08015502005,181
09,08,080155,08015502,08015502005,182
09,08,080155,08015502,08015502005,183
09,08,080155,08015502,08015502007,184
09,08,080155,08015502,08015502007,185
09,08,080155,08015502,08015502007,186
09,08,080155,08015502,08015502008,187
09,08,080155,08015502,08015502008,188
09,08,080155,08015502,08015502008,189
09,08,080155,08015502,08015502009,190
09,08,080155,08015502,08015502009,191
09,08,080155,08015502,08015502009,192
09,08,080155,08015502,08015502010,193
09,08,080155,08015502,08015502010,194
09,08,080155,08015502,08015502010,195
09,08,080155,08015502,08015502011,196
09,08,080155,08015502,08015502011,197
09,08,080155,08015502,08015502011,198
09,08,080155,08015502,08015502012,199
09,08,080155,08015502,08015502012,200
09,08,080155,08015502,08015502012,201
09,08,080155,08015502,08015502013,202
09,08,080155,08015502,08015502013,203
09,08,080155,08015502,08015502013,204
09,08,080155,08015502,08015502015,205
09,08,080155,08015502,08015502015,206
09,08,080155,08015502,08015502015,207
09,08,080155,08015503,08015503001,208
09,08,080155,08015503,08015503001,209
09,08,080155,08015503,08015503001,210
09,08,080155,08015503,08015503003,211
09,08,080155,08015503,08015503003,212
09,08,080155,08015503,08015503003,213
09,08,080155,08015503,08015503004,214
09,08,080155,08015503,08015503004,215
09,08,080155,08015503,08015503004,216
09,08,080155,08015503,08015503005,217
09,08,080155,08015503,08015503005,218
09,08,080155,08015503,08015503005,219
09,08,080155,08015503,08015503006,220
09,08,080155,08015503,08015503006,221
09,08,080155,08015503,08015503006,222
09,08,080155,08015503,08015503007,223
09,08,080155,08015503,08015503007,224
09,08,080155,08015503,08015503007,225
09,08,080155,08015503,08015503008,226
09,08,080155,08015503,08015503008,227
09,08,080155,08015503,08015503008,228
09,08,080155,08015503,08015503009,229
09,08,080155,08015503,08015503009,230
09,08,080155,08015503,08015503009,231
09,08,080155,08015503,08015503010,232
09,08,080155,08015503,08015503010,233
09,08,080155,08015503,08015503010,234
09,08,080155,08015503,08015503011,235
09,08,080155,08015503,08015503011,236
09,08,080155,08015503,08015503011,237
09,08,080155,08015503,08015503013,238
09,08,080155,08015503,08015503013,239
09,08,080155,08015503,08015503013,240
09,08,080155,08015503,08015503014,241
09,08,080155,08015503,08015503014,242
09,08,080155,08015503,08015503014,243
09,08,080155,08015503,08015503015,244
09,08,080155,08015503,08015503015,245
09,08,080155,08015503,08015503015,246
09,08,080155,08015504,08015504001,247
09,08,080155,08015504,08015504001,248
09,08,080155,08015504,08015504001,249
09,08,080155,08015504,08015504002,250
09,08,080155,08015504,08015504002,251
09,08,080155,08015504,08015504002,252
09,08,080155,08015504,08015504003,253
09,08,080155,08015504,08015504003,254
09,08,080155,08015504,08015504003,255
09,08,080155,08015504,08015504004,256
09,08,080155,08015504,08015504004,257
09,08,080155,08015504,08015504004,258
09,08,080155,08015504,08015504005,259
09,08,080155,08015504,08015504005,260
09,08,080155,08015504,08015504005,261
09,08,080155,08015504,08015504006,262
09,08,080155,08015504,08015504006,263
09,08,080155,08015504,08015504006,264
09,08,080155,08015504,08015504007,265
09,08,080155,08015504,08015504007,266
09,08,080155,08015504,08015504007,267
09,08,080155,08015504,08015504008,268
09,08,080155,08015504,08015504008,269
09,08,080155,08015504,08015504008,270
09,08,080155,08015504,08015504009,271
09,08,080155,08015504,08015504009,272
09,08,080155,08015504,08015504009,273
09,08,080155,08015504,08015504010,274
09,08,080155,08015504,08015504010,275
09,08,080155,08015504,08015504010,276
09,08,080155,08015504,08015504011,277
09,08,080155,08015504,08015504011,278
09,08,080155,08015504,08015504011,279
09,08,080155,08015504,08015504012,280
09,08,080155,08015504,08015504012,281
09,08,080155,08015504,08015504012,282
09,08,080155,08015504,08015504013,283
09,08,080155,08015504,08015504013,284
09,08,080155,08015504,08015504013,285
09,08,080155,08015504,08015504014,286
09,08,080155,08015504,08015504014,287
09,08,080155,08015504,08015504014,288
09,08,080155,08015504,08015504015,289
09,08,080155,08015504,08015504015,290
09,08,080155,08015504,08015504015,291
09,08,080155,08015504,08015504016,292
09,08,080155,08015504,08015504016,293
09,08,080155,08015504,08015504016,294
09,08,080155,08015505,08015505001,295
09,08,080155,08015505,08015505001,296
09,08,080155,08015505,08015505001,297
09,08,080155,08015505,08015505002,298
09,08,080155,08015505,08015505002,299
09,08,080155,08015505,08015505002,300
09,08,080155,08015505,08015505003,301
09,08,080155,08015505,08015505003,302
09,08,080155,08015505,08015505003,303
09,08,080155,08015505,08015505004,304
09,08,080155,08015505,08015505004,305
09,08,080155,08015505,08015505004,306
09,08,080155,08015505,08015505005,307
09,08,080155,08015505,08015505005,308
09,08,080155,08015505,08015505005,309
09,08,080155,08015505,08015505006,310
09,08,080155,08015505,08015505006,311
09,08,080155,08015505,08015505006,312
09,08,080155,08015505,08015505007,313
09,08,080155,08015505,08015505007,314
09,08,080155,08015505,08015505007,315
09,08,080155,08015505,08015505008,316
09,08,080155,08015505,08015505008,317
09,08,080155,08015505,08015505008,318
09,08,080155,08015506,08015506001,319
09,08,080155,08015506,08015506001,320
09,08,080155,08015506,08015506001,321
09,08,080155,08015506,08015506002,322
09,08,080155,08015506,08015506002,323
09,08,080155,08015506,08015506002,324
09,08,080155,08015506,08015506003,325
09,08,080155,08015506,08015506003,326
09,08,080155,08015506,08015506003,327
09,08,080155,08015506,08015506004,328
09,08,080155,08015506,08015506004,329
09,08,080155,08015506,08015506004,330
09,08,080155,08015506,08015506005,331
09,08,080155,08015506,08015506005,332
09,08,080155,08015506,08015506005,333
09,08,080155,08015506,08015506006,334
09,08,080155,08015506,08015506006,335
09,08,080155,08015506,08015506006,336
09,08,080155,08015507,08015507001,337
09,08,080155,08015507,08015507001,338
09,08,080155,08015507,08015507001,339
09,08,080155,08015507,08015507002,340
09,08,080155,08015507,08015507002,341
09,08,080155,08015507,08015507002,342
09,08,080155,08015507,08015507003,343
09,08,080155,08015507,08015507003,344
09,08,080155,08015507,08015507003,345
09,08,080155,08015507,08015507004,346
09,08,080155,08015507,08015507004,347
09,08,080155,08015507,08015507004,348
09,08,080155,08015507,08015507005,349
09,08,080155,08015507,08015507005,350
09,08,080155,08015507,08015507005,351
09,08,080155,08015507,08015507006,352
09,08,080155,08015507,08015507006,353
09,08,080155,08015507,08015507006,354
09,08,080155,08015507,08015507007,355
09,08,080155,08015507,08015507007,356
09,08,080155,08015507,08015507007,357
09,08,080155,08015507,08015507008,358
09,08,080155,08015507,08015507008,359
09,08,080155,08015507,08015507008,360
09,08,080155,08015507,08015507009,361
09,08,080155,08015507,08015507009,362
09,08,080155,08015507,08015507009,363
09,08,080155,08015507,08015507010,364
09,08,080155,08015507,08015507010,365
09,08,080155,08015507,08015507010,366
09,08,080155,08015507,08015507011,367
09,08,080155,08015507,08015507011,368
09,08,080155,08015507,08015507011,369
09,08,080155,08015507,08015507013,370
09,08,080155,08015507,08015507013,371
09,08,080155,08015507,08015507013,372
09,08,080155,08015507,08015507014,373
09,08,080155,08015507,08015507014,374
09,08,080155,08015507,08015507014,375
09,08,080155,08015507,08015507015,376
09,08,080155,08015507,08015507015,377
09,08,080155,08015507,08015507015,378
09,08,080155,08015507,08015507017,379
09,08,080155,08015507,08015507017,380
09,08,080155,08015507,08015507017,381
09,08,080155,08015507,08015507018,382
09,08,080155,08015507,08015507018,383
09,08,080155,08015507,08015507018,384
09,08,080155,08015507,08015507020,385
09,08,080155,08015507,08015507020,386
09,08,080155,08015507,08015507020,387
09,08,080155,08015507,08015507021,388
09,08,080155,08015507,08015507021,389
09,08,080155,08015507,08015507021,390
09,08,080155,08015507,08015507022,391
09,08,080155,08015507,08015507022,392
